gene_id,gene_symbol,gene_description
837357,DCP1,decapping 1
947576,ttdT,L-tartrate:succinate antiporter
31449,Mcm3,Minichromosome maintenance 3
32780,Sh,Shaker
853396,IRC8,Irc8p
825074,PAO3,polyamine oxidase 3
269881,Map3k10,mitogen-activated protein kinase kinase kinase 10
25128,Umod,uromodulin
110759,Igkj1,immunoglobulin kappa joining 1
1785,DNM2,dynamin 2
171382,Trpm8,"transient receptor potential cation channel, subfamily M, member 8"
836428,AT5G63080,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
97895,Nlrp4f,"NLR family, pyrin domain containing 4F"
818069,AT2G35040,AICARFT/IMPCHase bienzyme family protein
854976,RAD52,recombinase RAD52
556443,crkl,v-crk avian sarcoma virus CT10 oncogene homolog-like
854475,BUD7,exomer complex subunit
825420,AT3G62460,Putative endonuclease or glycosyl hydrolase
110052,Dek,DEK proto-oncogene (DNA binding)
945749,dhaM,dihydroxyacetone kinase subunit M
4627,MYH9,myosin heavy chain 9
101886351,ly86,lymphocyte antigen 86
3255945,CNB00120,"heat shock transcription factor 2, putative"
816492,AT2G19730,Ribosomal L28e protein family
3146,HMGB1,high mobility group box 1
8618901,comF-1,hypothetical protein
393599,ddb1,damage-specific DNA binding protein 1
84885,ZDHHC12,zinc finger DHHC-type palmitoyltransferase 12
12582,cdm,cadmium resistance
26509,MYOF,myoferlin
116643,Vcp,valosin-containing protein
94043,Tm2d1,TM2 domain containing 1
856387,HSE1,ESCRT-0 subunit protein HSE1
360678,Arhgdia,Rho GDP dissociation inhibitor alpha
79646,PANK3,pantothenate kinase 3
819623,AT3G04650,FAD/NAD(P)-binding oxidoreductase family protein
836480,FLS5,flavonol synthase 5
944886,caiC,carnitine--CoA ligase
842391,AT1G60990,Glycine cleavage T-protein family
23849,Klf6,Kruppel-like factor 6
37554,Rtf1,Rtf1
823969,AT3G48140,B12D protein
723935,Mir381,microRNA 381
304514,Tbx5,T-box transcription factor 5
12554,Cdh13,cadherin 13
828516,AT4G24160,alpha/beta-Hydrolases superfamily protein
818293,PIP2B,plasma membrane intrinsic protein 2
21333,Tac1,tachykinin 1
467,ATF3,activating transcription factor 3
850783,GIS3,Gis3p
51278,IER5,immediate early response 5
80169,CTC1,CST telomere replication complex component 1
181756,sid-3,Tyrosine-protein kinase sid-3
688698,Ckmt2,"creatine kinase, mitochondrial 2"
110593,Prdm2,"PR domain containing 2, with ZNF domain"
851729,CTH1,putative mRNA-binding protein CTH1
945109,trpD,anthranilate synthase subunit TrpD
826935,AT4G13200,hypothetical protein
42166,Cbp20,cap binding protein 20
2543227,rvb1,AAA family ATPase Rvb1
66650,Nepn,nephrocan
837246,SR45a,RNA-binding (RRM/RBD/RNP motifs) family protein
855212,PAI3,Pai3p
12955,Cryab,"crystallin, alpha B"
84652,Fam126a,"family with sequence similarity 126, member A"
842187,MSL3,MSCS-like 3
175793,lgg-3,Ubiquitin-like protein atg-12
2539611,SPBC1734.09,putative NST UDP-N-acetylglucosamine transporter
4726,NDUFS6,NADH:ubiquinone oxidoreductase subunit S6
74777,Selenon,selenoprotein N
44369,limbo,limbo
856694,PXP1,putative indolepyruvate decarboxylase family protein
16680,Krt84,keratin 84
3000,GUCY2D,"guanylate cyclase 2D, retinal"
54885,TBC1D8B,TBC1 domain family member 8B
947133,yciF,DUF892 domain-containing protein YciF
851657,TVP23,Tvp23p
78926,Gas2l1,growth arrest-specific 2 like 1
827064,AT4G14230,CBS domain protein with a domain protein (DUF21)
5432,POLR2C,RNA polymerase II subunit C
817399,AT2G28510,Dof-type zinc finger DNA-binding family protein
839844,AT1G29670,GDSL-like Lipase/Acylhydrolase superfamily protein
851545,CDC7,serine/threonine protein kinase CDC7
10541,ANP32B,acidic nuclear phosphoprotein 32 family member B
192301,rpl24,ribosomal protein L24
172888,lid-1,AB hydrolase-1 domain-containing protein;Abhydrolase domain-containing protein lid-1
2543030,SPAC12B10.10,hypothetical protein
180755,mig-13,Abnormal cell migration protein 13
259197,NCR3,natural cytotoxicity triggering receptor 3
57107,PDSS2,decaprenyl diphosphate synthase subunit 2
828739,UNE17,Subtilisin-like serine endopeptidase family protein
8617618,abcG21,ABC transporter G family protein
838483,AT1G19020,CDP-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase
837076,BT3,BTB and TAZ domain protein 3
210029,Metrnl,"meteorin, glial cell differentiation regulator-like"
641568,thnsl2,threonine synthase-like 2
812352,PF3D7_1479900,stevor
852902,UGA1,4-aminobutyrate transaminase
566722,fsd1,fibronectin type III and SPRY domain containing 1
829707,WOX13,WUSCHEL related homeobox 13
948119,trmL,tRNA (cytidine/uridine-2'-O)-ribose methyltransferase
319742,Mpzl3,myelin protein zero-like 3
5154,PDGFA,platelet derived growth factor subunit A
41265,jumu,jumeau
383,ARG1,arginase 1
309368,Lama2,laminin subunit alpha 2
43146,boss,bride of sevenless
2543108,SPAC3A12.13c,translation initiation factor eIF3j (p35)
2539649,pck2,protein kinase C (PKC)-like Pck2
827088,IBR10,indole-3-butyric acid response 10
179331,eif-2Bdelta,Eukaryotic Initiation Factor
172481,mif-3,MIF-like protein mif-3
15564,Htr5b,5-hydroxytryptamine (serotonin) receptor 5B
3885991,PF3D7_0600300,rifin
31867,Ir8a,Ionotropic receptor 8a
177921,unc-43,CaMKII_AD domain-containing protein;Calcium/calmodulin-dependent protein kinase;Calcium/calmodulin-dependent protein kinase type II
51125,GOLGA7,golgin A7
215494,Pomgnt2,"protein O-linked mannose beta 1,4-N-acetylglucosaminyltransferase 2"
18419,Otog,otogelin
1285,COL4A3,collagen type IV alpha 3 chain
40331,ICA69,Islet cell autoantigen 69 kDa
9351,SLC9A3R2,SLC9A3 regulator 2
818527,AT2G39420,alpha/beta-Hydrolases superfamily protein
41938,Sap47,Synapse-associated protein 47kD
835392,SPDS3,spermidine synthase 3
855674,MSG5,tyrosine/serine/threonine protein phosphatase MSG5
9463,PICK1,protein interacting with PRKCA 1
35494,stw,straw
1211,CLTA,clathrin light chain A
51897,Atg13,autophagy related 13
238217,Rpl10l,ribosomal protein L10-like
948720,rplI,50S ribosomal subunit protein L9
685859,Ubxn2a,UBX domain protein 2A
826792,AT4G01610,Cysteine proteinases superfamily protein
3360,HTR4,5-hydroxytryptamine receptor 4
814646,PAP1,phosphatidic acid phosphatase 1
26523,AGO1,argonaute RISC component 1
563972,gstt1a,glutathione S-transferase theta 1a
841405,MTK,S-methyl-5-thioribose kinase
836710,CGR3,transmembrane protein
816284,NIP1,NEP-interacting protein 1
40314,fng,fringe
2004,ELK3,ETS transcription factor ELK3
11254,SLC6A14,solute carrier family 6 member 14
2539795,gpt2,UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase
818004,RWA3,O-acetyltransferase family protein
24104671,nsy-1,Mitogen-activated protein kinase kinase kinase;Mitogen-activated protein kinase kinase kinase nsy-1
10631,POSTN,periostin
268420,Alkbh5,"alkB homolog 5, RNA demethylase"
2539716,chr4,"1,3-beta-glucan synthase regulatory factor Chf3/Chr4"
64301,Smn1,"survival of motor neuron 1, telomeric"
38009,Ebp,Ejaculatory bulb protein
295088,Gmps,guanine monophosphate synthase
20979,Syt1,synaptotagmin I
557263,trrap,transformation/transcription domain-associated protein
8618311,sbds,Shwachman-Bodian-Diamond syndrome protein
948475,yzcX,protein YzcX
52666,Arhgef25,Rho guanine nucleotide exchange factor (GEF) 25
387225,Mir30a,microRNA 30a
54664,TMEM106B,transmembrane protein 106B
828024,XTH9,xyloglucan endotransglucosylase/hydrolase 9
825129,NRPB8B,RNA polymerase Rpb8
33390,AIF,Apoptosis inducing factor
34516,YL-1,YL-1
403138,tlr5a,toll-like receptor 5a
948012,rlmJ,23S rRNA m(6)A2030 methyltransferase
6196,RPS6KA2,ribosomal protein S6 kinase A2
182486,gad-2,Uncharacterized protein
856048,GRX5,monothiol glutaredoxin GRX5
177462,him-3,HORMA domain-containing protein
56620,Clec4n,"C-type lectin domain family 4, member n"
29558,Fcgrt,Fc fragment of IgG receptor and transporter
820175,AT3G10120,hypothetical protein
102464824,MIR6069,microRNA 6069
824556,AT3G53890,Ribosomal protein S21e
71972,Dnmbp,dynamin binding protein
78996,CYREN,cell cycle regulator of NHEJ
15958,Ifit2,interferon-induced protein with tetratricopeptide repeats 2
78976,Kiss1r,KISS1 receptor
5139,PDE3A,phosphodiesterase 3A
10966,RAB40B,"RAB40B, member RAS oncogene family"
70025,Acot7,acyl-CoA thioesterase 7
315973,Acad11,"acyl-CoA dehydrogenase family, member 11"
813010,PF3D7_0519400,40S ribosomal protein S24
841200,HXK3,hexokinase 3
821893,AT3G23170,hypothetical protein
3214,HOXB4,homeobox B4
1045,CDX2,caudal type homeobox 2
751546,Mir374b,microRNA 374b
947178,hslO,molecular chaperone Hsp33
827528,AT4G18030,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
946708,alkB,DNA oxidative demethylase
80720,Pbx4,pre B cell leukemia homeobox 4
947499,parC,DNA topoisomerase IV subunit A
20167,Rtn2,reticulon 2 (Z-band associated protein)
820069,HY2,"phytochromobilin:ferredoxin oxidoreductase, chloroplast / phytochromobilin synthase (HY2)"
234964,Deup1,deuterosome assembly protein 1
2541505,pabp,mRNA export shuttling protein
830760,SNRK2.1,SNF1-related protein kinase 2.1
362876,Ppfia2,PTPRF interacting protein alpha 2
835322,EDA41,"FBD, F-box and Leucine Rich Repeat domains containing protein"
2539815,lys4,putative homocitrate synthase
835868,CIPK21,CBL-interacting protein kinase 21
821378,ILR2,iaa-leucine resistant 2
36464,Qsox1,Quiescin sulfhydryl oxidase 1
494337,MIR425,microRNA 425
42261,Rh2,Rhodopsin 2
824,CAPN2,calpain 2
823753,HRS1,Histidyl-tRNA synthetase 1
9905,SGSM2,small G protein signaling modulator 2
9076,CLDN1,claudin 1
360139,oprk1,"opioid receptor, kappa 1"
251619,acd(2)5N18,auditory courtship defective 5N18
948604,alsB,D-allose ABC transporter periplasmic binding protein
843408,GH9B1,glycosyl hydrolase 9B1
100007677,erbb4a,erb-b2 receptor tyrosine kinase 4a
137392,CIBAR1,CBY1 interacting BAR domain containing 1
9164871,LSR1,ncRNA
837237,UGT71C3,UDP-glucosyl transferase 71C3
1386,ATF2,activating transcription factor 2
21802,Tgfa,transforming growth factor alpha
814044,PF3D7_1312000,malonyl CoA-acyl carrier protein transacylase
11758,Prdx6,peroxiredoxin 6
856687,SNU13,RNA binding protein SNU13
8624571,gefA,Ras guanine nucleotide exchange factor
4257,MGST1,microsomal glutathione S-transferase 1
25126,Stat5b,signal transducer and activator of transcription 5B
25085,Th,tyrosine hydroxylase
36484,AttC,Attacin-C
100537296,ltb4r2b,leukotriene B4 receptor 2b
856201,SUA7,transcription factor TFIIB
311078,Psmd14,"proteasome 26S subunit, non-ATPase 14"
852946,MUP1,Mup1p
850306,LRE1,Lre1p
856075,SVL3,Svl3p
13609,S1pr1,sphingosine-1-phosphate receptor 1
568653,btk,Bruton agammaglobulinemia tyrosine kinase
365802,Selenot,selenoprotein T
852758,COQ8,protein kinase COQ8
360557,Nlrp1a,"NLR family, pyrin domain containing 1A"
853693,PIR3,"beta-1,3-glucan linked protein"
836756,AT5G66240,Transducin/WD40 repeat-like superfamily protein
445083,dhrs3a,dehydrogenase/reductase (SDR family) member 3a
251466,RpL41,Ribosomal protein L41
54281,Furin,furin (paired basic amino acid cleaving enzyme)
843536,TFIIIA,transcription factor IIIA
816873,CPT,cis-prenyltransferase
821138,HB-1,homeobox 1
821482,AT3G19480,D-3-phosphoglycerate dehydrogenase
18044,Nfya,nuclear transcription factor-Y alpha
29440,Slc26a4,solute carrier family 26 member 4
832098,TUA5,tubulin alpha-5
855640,END3,End3p
39120,Or67b,Odorant receptor 67b
93695,Gpnmb,glycoprotein (transmembrane) nmb
177677,ttll-11,Tubulin polyglutamylase ttll-11
853993,RPL25,ribosomal 60S subunit protein L25
172833,hrdl-1,E3 ubiquitin-protein ligase hrd-like protein 1
4316,MMP7,matrix metallopeptidase 7
828580,AT4G24780,Pectin lyase-like superfamily protein
678575,chrna2a,"cholinergic receptor, nicotinic, alpha 2a (neuronal)"
498011,Mrc2,"mannose receptor, C type 2"
827336,ADA2B,ADA2 2B
185977,cwp-5,Coexpressed With Polycystins
84733,CBX2,chromobox 2
25554,Snai2,snail family transcriptional repressor 2
83740,H2AB3,H2A.B variant histone 3
174198,cul-4,Cullin-4
828582,ECIP1,MA3 domain-containing protein
811051,PF3D7_1150200,rifin
851907,SSF2,rRNA-binding ribosome biosynthesis protein
5164,PDK2,pyruvate dehydrogenase kinase 2
78134,Lpar4,lysophosphatidic acid receptor 4
25284,Amacr,alpha-methylacyl-CoA racemase
834731,AT5G46870,RNA-binding (RRM/RBD/RNP motifs) family protein
294279,Col11a2,collagen type XI alpha 2 chain
76937,2810429I04Rik,RIKEN cDNA 2810429I04 gene
12662,Chm,choroidermia (RAB escort protein 1)
820532,CAX2,cation exchanger 2
2542017,tif225,putative translation initiation factor eIF2B epsilon subunit tif225
36514,fand,fandango
260299,Cadm4,cell adhesion molecule 4
15,AANAT,aralkylamine N-acetyltransferase
17238,Mdac,modifier of Dac
3875,KRT18,keratin 18
17532,Mras,muscle and microspikes RAS
123096,SLC25A29,solute carrier family 25 member 29
563,AZGP1,"alpha-2-glycoprotein 1, zinc-binding"
850383,MAK31,Mak31p
5599,MAPK8,mitogen-activated protein kinase 8
394183,grinab,"glutamate receptor, ionotropic, N-methyl D-aspartate-associated protein 1b (glutamate binding)"
833589,AT5G35970,P-loop containing nucleoside triphosphate hydrolases superfamily protein
69539,Trnp1,TMF1-regulated nuclear protein 1
7004,TEAD4,TEA domain transcription factor 4
947733,yhcC,radical SAM family oxidoreductase YhcC
24947,Gabra3,gamma-aminobutyric acid type A receptor subunit alpha 3
853322,RPE1,ribulose-phosphate 3-epimerase RPE1
25900,IFFO1,intermediate filament family orphan 1
4718,NDUFC2,NADH:ubiquinone oxidoreductase subunit C2
393261,psmd6,"proteasome 26S subunit, non-ATPase 6"
66117,Fmc1,formation of mitochondrial complex V assembly factor 1
816953,SDR2,NAD(P)-binding Rossmann-fold superfamily protein
822427,UVH3,5'-3' exonuclease family protein
21413,Tcf4,transcription factor 4
29688,Minpp1,multiple inositol-polyphosphate phosphatase 1
832423,AT5G23575,Transmembrane CLPTM1 family protein
363578,Havcr2,hepatitis A virus cellular receptor 2
394436,Ugt1a1,"UDP glucuronosyltransferase 1 family, polypeptide A1"
41460,DCAF12,DDB1 and CUL4 associated factor 12
58070,mespba,mesoderm posterior ba
217216,Hrob,homologous recombination factor with OB-fold
404207,gja10b,gap junction protein alpha 10 b
852830,MST27,DUP240 family protein MST27
66811,Duoxa2,dual oxidase maturation factor 2
23877,Fiz1,Flt3 interacting zinc finger protein 1
84643,KIF2B,kinesin family member 2B
828779,PPX1,protein phosphatase X 1
8628525,psmA2,20S proteasome subunit alpha-2
43278,DNApol-alpha73,DNA polymerase alpha 73kD subunit
180505,ceh-39,Homeobox protein ceh-39
243547,Grip2,glutamate receptor interacting protein 2
55946,Ap3m1,"adaptor-related protein complex 3, mu 1 subunit"
14633,Gli2,GLI-Kruppel family member GLI2
829624,AVA-P1,"ATPase, F0/V0 complex, subunit C protein"
570278,setd5,SET domain containing 5
104382,Barhl2,BarH like homeobox 2
945073,cyoE,heme O synthase
3108,HLA-DMA,"major histocompatibility complex, class II, DM alpha"
172523,rrf-1,RNA-directed RNA polymerase
947153,dbpA,ATP-dependent RNA helicase DbpA
30442,ednrba,endothelin receptor Ba
4691,NCL,nucleolin
42366,Ask1,Apoptotic signal-regulating kinase 1
856094,MRPS16,mitochondrial 37S ribosomal protein MRPS16
121536,AEBP2,AE binding protein 2
152816,ODAPH,odontogenesis associated phosphoprotein
393353,clcnk,chloride channel K
851805,MFB1,Mfb1p
831186,ATP5,delta subunit of Mt ATP synthase
80196,RNF34,ring finger protein 34
23099,ZBTB43,zinc finger and BTB domain containing 43
834149,GLA1,Folylpolyglutamate synthetase family protein
27883,Tango2,transport and golgi organization 2
2541580,pli1,SUMO E3 ligase Pli1
140607,Pip4k2c,phosphatidylinositol-5-phosphate 4-kinase type 2 gamma
835494,HGO,"homogentisate 1,2-dioxygenase"
824612,AT3G54470,uridine 5'-monophosphate synthase / UMP synthase (PYRE-F) (UMPS)
854746,EFM4,Efm4p
819779,TSC10A,NAD(P)-binding Rossmann-fold superfamily protein
945504,cydC,glutathione/L-cysteine ABC exporter subunit CydC
5243,ABCB1,ATP binding cassette subfamily B member 1
830647,GRP16,glycine-rich protein 16
73712,Dmkn,dermokine
2540848,met6,homoserine O-acetyltransferase Met6
81822,Actb,"actin, beta"
20502,Slc16a2,"solute carrier family 16 (monocarboxylic acid transporters), member 2"
8656591,NAG1,Nag1p
3885888,PF3D7_0621200,pyridoxine biosynthesis protein PDX1
6523,SLC5A1,solute carrier family 5 member 1
83537,Smpd2,sphingomyelin phosphodiesterase 2
2540595,dep1,Sds3-like family protein Dep1
1490,CCN2,cellular communication network factor 2
292172,Eya4,EYA transcriptional coactivator and phosphatase 4
4140,MARK3,microtubule affinity regulating kinase 3
34430,TfIIB,Transcription factor IIB
38185,CG12004,uncharacterized protein
40745,Gasp,gasp
177318,sand-1,Vacuolar fusion protein MON1 homolog
641575,actn2b,"actinin, alpha 2b"
31587,Spat,Serine pyruvate aminotransferase
945355,mngA,2-O-alpha-mannosyl-D-glycerate specific PTS enzyme II
70383,Cox10,heme A:farnesyltransferase cytochrome c oxidase assembly factor 10
840227,AT1G33330,Class I peptide chain release factor
7016,TESK1,testis associated actin remodelling kinase 1
851130,BER1,Ber1p
857,CAV1,caveolin 1
2871372,AN6473.2,hypothetical protein
824509,LUL2,RING/U-box superfamily protein
180670,fkh-9,Fork-head domain-containing protein
844225,AT1G78880,Ubiquitin-specific protease family C19-related protein
103806,Maml1,mastermind like transcriptional coactivator 1
573216,tuba1a,"tubulin, alpha 1a"
54230,Btg3,BTG anti-proliferation factor 3
414848,rfng,RFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase
58861,Cysltr1,cysteinyl leukotriene receptor 1
243270,Hcar1,hydrocarboxylic acid receptor 1
171167,Fut10,fucosyltransferase 10
94164,Hbg1,hemoglobin subunit gamma 1
245000,Atr,ataxia telangiectasia and Rad3 related
10775,POP4,"POP4 homolog, ribonuclease P/MRP subunit"
304469,Rilpl1,Rab interacting lysosomal protein-like 1
43402,WASp,WASp
261726,TIPRL,TOR signaling pathway regulator
5690,PSMB2,proteasome 20S subunit beta 2
117264,P2ry6,pyrimidinergic receptor P2Y6
9796,PHYHIP,phytanoyl-CoA 2-hydroxylase interacting protein
54764,ZRANB1,zinc finger RANBP2-type containing 1
854672,FLX1,flavin adenine dinucleotide transporter FLX1
38419,Drs,Drosomycin
2516,NR5A1,nuclear receptor subfamily 5 group A member 1
44849,pnr,pannier
830320,NAC2,NAC domain containing protein 2
20872,Stk16,serine/threonine kinase 16
40271,ZnT77C,Zinc transporter 77C
